word1,word2,n,decade
chicago,de,1,post1960
chicago,economist,1,post1960
chickasha,okla,1,post1960
chief,executive's,1,post1960
chief,gates,1,post1960
chief,inspector,1,post1960
chief,rush,1,post1960
chief,washington,1,post1960
children,deut,1,post1960
children,killed,1,post1960
chised,black,1,post1960
choke,hold,1,post1960
chou,en,1,post1960
christ,told,1,post1960
christianity,conveniently,1,post1960
church,mayor,1,post1960
church,papers,1,post1960
church,sun,1,post1960
cial,pressures,1,post1960
ciary,committee,1,post1960
cinctly,stated,1,post1960
circulation,dropped,1,post1960
cision,reached,1,post1960
cisse,46,1,post1960
citizens,george,1,post1960
city,adminis,1,post1960
city,agency,1,post1960
city,firemen,1,post1960
city,limits,1,post1960
city,roy,1,post1960
city's,government,1,post1960
claim,gm's,1,post1960
claimed,earlier,1,post1960
claims,court,1,post1960
clare,jupiter,1,post1960
class,action,1,post1960
class,emerges,1,post1960
clayton,powell,1,post1960
cleansing,vic,1,post1960
clement,norman,1,post1960
cleorgia,born,1,post1960
cleve,harris,1,post1960
cleveland,journal,1,post1960
click,mitchell,1,post1960
climbed,reaching,1,post1960
clinton,admin,1,post1960
clothing,store,1,post1960
club,muslim,1,post1960
clubbed,stomped,1,post1960
clyde,mcphatter,1,post1960
clysmic,defeat,1,post1960
coal,reserves,1,post1960
coalition,returned,1,post1960
coalition's,letter,1,post1960
coatesville,citizens,1,post1960
coatesville,pa,1,post1960
cobb,formed,1,post1960
coddle,racists,1,post1960
cohen,died,1,post1960
col,6,1,post1960
col,7,1,post1960
col,robert,1,post1960
col,roosevelt,1,post1960
colby,college,1,post1960
cold,blooded,1,post1960
cold,indifference,1,post1960
coll,shat,1,post1960
collective,opprobrium,1,post1960
collective,voices,1,post1960
college,graduate,1,post1960
college,hospital,1,post1960
college,music,1,post1960
coln,university,1,post1960
colonization,society,1,post1960
colored,al,1,post1960
colored,american,1,post1960
colored,citizens,1,post1960
colored,countrymen,1,post1960
colored,republican,1,post1960
colton,planta,1,post1960
commanding,position,1,post1960
commission,guinea's,1,post1960
commissioner,benjamin,1,post1960
committed,black,1,post1960
committed,suicide,1,post1960
committee,composed,1,post1960
committee,consisting,1,post1960
committee,urged,1,post1960
communist,channing,1,post1960
communist,inspired,1,post1960
community,college,1,post1960
community,corp,1,post1960
community,create,1,post1960
community,occurred,1,post1960
community,ran,1,post1960
company,jackie,1,post1960
compassionate,lists,1,post1960
complete,lack,1,post1960
complex,context,1,post1960
comprehend,mass,1,post1960
con,edison,1,post1960
conceited,pedant,1,post1960
concern,american's,1,post1960
concerted,move,1,post1960
conduct,charge,1,post1960
confederacy,jesse,1,post1960
confederate,armies,1,post1960
conflict,betwen,1,post1960
congregation,today's,1,post1960
congress,adopt,1,post1960
congress,repeatedly,1,post1960
congressmen,togeth,1,post1960
conrad's,cloudroom,1,post1960
conscious,counterpart,1,post1960
conscious,greatly,1,post1960
consecutive,tuesdays,1,post1960
conservative,letter,1,post1960
considered,contro,1,post1960
consistently,fill,1,post1960
consisting,primarily,1,post1960
