...1,word1,word2,n,decade,x
84986,mississippi,town,1,1920,mississippi town
84987,mississippisunday,sept,1,1920,mississippisunday sept
84988,missouri,north,1,1920,missouri north
84989,missouri,overpowered,1,1920,missouri overpowered
84990,missouri,recently,1,1920,missouri recently
84991,mistrial,resulted,1,1920,mistrial resulted
84992,mitchell,committed,1,1920,mitchell committed
84993,mitchell,negro,1,1920,mitchell negro
84994,mitchell,palmer,1,1920,mitchell palmer
84995,mo,aug,1,1920,mo aug
84996,mo,dec,1,1920,mo dec
84997,mo,july,1,1920,mo july
84998,mob,acts,1,1920,mob acts
84999,mob,al,1,1920,mob al
85000,mob,attacked,1,1920,mob attacked
85001,mob,attempts,1,1920,mob attempts
85002,mob,balted,1,1920,mob balted
85003,mob,belong,1,1920,mob belong
85004,mob,collected,1,1920,mob collected
85005,mob,composed,1,1920,mob composed
85006,mob,datura,1,1920,mob datura
85007,mob,demonstration,1,1920,mob demonstration
85008,mob,dis,1,1920,mob dis
85009,mob,district,1,1920,mob district
85010,mob,entered,1,1920,mob entered
85011,mob,fails,1,1920,mob fails
85012,mob,fell,1,1920,mob fell
85013,mob,helped,1,1920,mob helped
85014,mob,incites,1,1920,mob incites
85015,mob,intending,1,1920,mob intending
85016,mob,intimidation,1,1920,mob intimidation
85017,mob,lacked,1,1920,mob lacked
85018,mob,lawlessness,1,1920,mob lawlessness
85019,mob,leader,1,1920,mob leader
85020,mob,litterally,1,1920,mob litterally
85021,mob,lynch,1,1920,mob lynch
85022,mob,lynching,1,1920,mob lynching
85023,mob,millers,1,1920,mob millers
85024,mob,mine,1,1920,mob mine
85025,mob,molested,1,1920,mob molested
85026,mob,murder,1,1920,mob murder
85027,mob,murders,1,1920,mob murders
85028,mob,numbering,1,1920,mob numbering
