...1,word1,word2,n,decade,x
24861,st,attorney,1,1930s,st attorney
24862,st,augustine's,1,1930s,st augustine's
24863,st,charleston,1,1930s,st charleston
24864,st,harks,1,1930s,st harks
24865,st,james,1,1930s,st james
24866,st,jo,1,1930s,st jo
24867,st,john,1,1930s,st john
24868,st,luke's,1,1930s,st luke's
24869,st,mary's,1,1930s,st mary's
24870,st,monica's,1,1930s,st monica's
24871,st,vincent,1,1930s,st vincent
24872,st'egat,lynching,1,1930s,st'egat lynching
24873,stab,wounds,1,1930s,stab wounds
24874,stabbed,argo,1,1930s,stabbed argo
24875,stabbing,caused,1,1930s,stabbing caused
24876,stabbing,patrolman,1,1930s,stabbing patrolman
24877,stable,durden,1,1930s,stable durden
24878,stable,john,1,1930s,stable john
24879,staceeded,rinaliy,1,1930s,staceeded rinaliy
24880,staff,correspondent,1,1930s,staff correspondent
24881,staff,reporter,1,1930s,staff reporter
24882,stage,à,1,1930s,stage à
24883,staged,578,1,1930s,staged 578
24884,staged,claude,1,1930s,staged claude
24885,stagnant,pools,1,1930s,stagnant pools
24886,stagnant,social,1,1930s,stagnant social
24887,stain,hag,1,1930s,stain hag
24888,stained,banners,1,1930s,stained banners
24889,stake,american,1,1930s,stake american
24890,stake,piled,1,1930s,stake piled
24891,stalwart,lot,1,1930s,stalwart lot
24892,stamp,floys,1,1930s,stamp floys
24893,stamping,ground,1,1930s,stamping ground
24894,stana,determined,1,1930s,stana determined
24895,stances,attending,1,1930s,stances attending
24896,stand,aloof,1,1930s,stand aloof
24897,stand,idly,1,1930s,stand idly
24898,stand,sheriff,1,1930s,stand sheriff
24899,stand,textbook,1,1930s,stand textbook
24900,standard,oil,1,1930s,standard oil
24901,standing,publicity,1,1930s,standing publicity
24902,standing,records,1,1930s,standing records
24903,standingly,forthright,1,1930s,standingly forthright
24904,stanley,colton,1,1930s,stanley colton
24905,stantly,inflamed,1,1930s,stantly inflamed
24906,stapped,hanged,1,1930s,stapped hanged
24907,star,witness,1,1930s,star witness
24908,start,pouring,1,1930s,start pouring
24909,start,probe,1,1930s,start probe
24910,started,broad,1,1930s,started broad
24911,started,patrolman,1,1930s,started patrolman
24912,started,wednesday,1,1930s,started wednesday
24913,starting,31,1,1930s,starting 31
24914,starting,tale,1,1930s,starting tale
24915,state's,attempt,1,1930s,state's attempt
24916,state's,attempts,1,1930s,state's attempts
24917,state's,su,1,1930s,state's su
24918,stated,mayor,1,1930s,stated mayor
24919,statement,call,1,1930s,statement call
24920,statement,late,1,1930s,statement late
24921,statement,nad,1,1930s,statement nad
24922,statement,stressed,1,1930s,statement stressed
24923,statement,tuesday,1,1930s,statement tuesday
24924,statements,carried,1,1930s,statements carried
24925,statesboro,ga,1,1930s,statesboro ga
24926,station,menager,1,1930s,station menager
24927,station,wov,1,1930s,station wov
24928,statistics,nasty,1,1930s,statistics nasty
24929,stato,g's,1,1930s,stato g's
24930,stato,police,1,1930s,stato police
24931,stato,txecutives,1,1930s,stato txecutives
24932,staustical,study,1,1930s,staustical study
24933,ste,realization,1,1930s,ste realization
24934,stealing,chickens,1,1930s,stealing chickens
24935,stealing,liquor,1,1930s,stealing liquor
24936,stealing,turpen,1,1930s,stealing turpen
24937,stealing,whisky,1,1930s,stealing whisky
24938,steals,kisses,1,1930s,steals kisses
24939,steel,burning,1,1930s,steel burning
24940,steel,frames,1,1930s,steel frames
24941,steep,declivity,1,1930s,steep declivity
24942,stella,harworth,1,1930s,stella harworth
24943,stellbarred,door,1,1930s,stellbarred door
24944,sten,ne,1,1930s,sten ne
24945,stenographers,fees,1,1930s,stenographers fees
24946,step,shot,1,1930s,step shot
24947,steps,backward,1,1930s,steps backward
24948,steps,ware,1,1930s,steps ware
24949,sterling,brown,1,1930s,sterling brown
24950,stern,crit,1,1930s,stern crit
24951,stern,criticism,1,1930s,stern criticism
24952,stern,white,1,1930s,stern white
24953,stethoscope,fourteen,1,1930s,stethoscope fourteen
24954,stevens,tilman,1,1930s,stevens tilman
24955,stiates,michigan,1,1930s,stiates michigan
24956,stick,convince,1,1930s,stick convince
24957,stick,em,1,1930s,stick em
24958,stiil,cherished,1,1930s,stiil cherished
24959,stijl,offi,1,1930s,stijl offi
24960,stil,glowing,1,1930s,stil glowing
24961,stimulate,employment,1,1930s,stimulate employment
24962,stir,anger,1,1930s,stir anger
24963,stirring,chapters,1,1930s,stirring chapters
24964,stirs,populace,1,1930s,stirs populace
24965,stitutional,clause,1,1930s,stitutional clause
24966,stitutional,rights,1,1930s,stitutional rights
24967,stitutionally,guaranteed,1,1930s,stitutionally guaranteed
24968,sto,true,1,1930s,sto true
24969,stock,discloses,1,1930s,stock discloses
24970,stocked,men's,1,1930s,stocked men's
24971,ston,salem,1,1930s,ston salem
24972,stones,similarly,1,1930s,stones similarly
24973,stones,sticks,1,1930s,stones sticks
24974,stood,firm,1,1930s,stood firm
24975,stood,helpless,1,1930s,stood helpless
24976,stop,artacking,1,1930s,stop artacking
24977,stop,criticisms,1,1930s,stop criticisms
24978,stop,local,1,1930s,stop local
24979,stop,lynchings,1,1930s,stop lynchings
24980,stop,rapes,1,1930s,stop rapes
24981,stop,waiting,1,1930s,stop waiting
24982,stops,lynching,1,1930s,stops lynching
24983,store,situation,1,1930s,store situation
24984,stores,schools,1,1930s,stores schools
24985,stores,undertaking,1,1930s,stores undertaking
24986,storied,chivalry,1,1930s,storied chivalry
24987,stories,weekly,1,1930s,stories weekly
24988,storm,jail,1,1930s,storm jail
24989,storm,signals,1,1930s,storm signals
24990,stormea,tue,1,1930s,stormea tue
24991,stormy,speeches,1,1930s,stormy speeches
24992,stort,typical,1,1930s,stort typical
24993,story,depicts,1,1930s,story depicts
24994,story,lynching,1,1930s,story lynching
24995,stot,body,1,1930s,stot body
24996,stout,beatrice,1,1930s,stout beatrice
